transfer,height,diameter,cotyledon,weight
1,76.8,62.6,5,12.546
0,28.7,13.4,3,12.19
1,72.6,72.3,5,11.68
0,0,0,0,11.134
0,0,0,0,11.364
0,0,0,0,12.462
0,0,0,0,13.188
0,0,0,0,12.518
1,69.2,60.9,6,12.46
0,0,0,0,13.142
1,75.5,73.8,5,13.31
1,70.1,38.3,3,12.826
1,102.9,69.2,7,12.462
1,83.3,53.1,5,11.524
1,70.5,46.1,6,11.692
0,0,0,0,11.884
1,89.2,76.7,5,14.172
1,75.6,58,5,13.104
1,81.1,62.4,7,12.6
1,80.4,40.3,5,12.976
1,96,26.9,5,13.192
1,75.3,57.8,6,13.242
0,0,0,0,12.666
0,0,0,0,12.394
1,68.4,48.3,5,12.032
1,107.3,70.7,6,12.464
1,101,85,6,12.884
0,0,0,0,13.034
1,93.3,28.3,5,13.384
0,0,0,0,12.888
1,84.3,60.2,6,13.952
0,0,0,0,13.1
1,68.7,69.5,7,12.866
1,105.2,39.4,4,13.002
1,105.6,78.4,6,12.412
0,0,0,0,11.286
0,0,0,0,10.706
1,61.8,64.5,6,11.808
0,0,0,0,11.46
1,61.9,53,6,11.742
1,86.4,55.4,6,11.466
0,0,0,0,12.004
1,71.5,48.8,6,11.704
0,56.5,27.4,5,11.824
1,73.7,47.8,5,11.482
0,0,0,0,11.434
1,59.4,39,6,11.99
0,27.8,10.7,4,10.876
0,0,0,0,11.596
1,82.2,75.3,6,11.558
0,0,0,0,11.874
1,52.8,51.8,5,12.174
0,0,0,0,11.918
1,79.4,50.9,6,11.314
1,70.1,46.3,5,10.488
0,0,0,0,11.024
1,77.4,52,5,12.006
0,0,0,0,10.996
0,47.6,21.9,4,10.738
1,66.5,73.4,6,11.868
0,48.2,25.3,5,10.536
0,0,0,0,11.83
1,88.7,56.9,5,11.426
0,59.8,21.9,4,10.39
0,58.6,39.9,4,10.224
0,0,0,0,11.526
1,90.1,69.1,7,12.564
1,78.8,88.3,5,13.2
1,94.5,83.1,5,11.388
1,90,68.8,5,11.05
0,45.2,18.3,4,10.792
0,32.2,17,5,10.472
1,77.8,70.6,9,11.882
0,58.3,30.9,3,12.078
1,94.4,68,5,11.566
0,48.6,41.8,5,11.634
